sentence,fuel,machine,others,part,price,service
"Wonten setunggal fitur ingkang kadang diremehake, nanging nyatane dados kauntungan, yaiku fitur Brake Hold ing HR-V.",neutral,neutral,neutral,positive,neutral,neutral
"Xpander katingal kados mobil taun 2020.",neutral,neutral,positive,neutral,neutral,neutral
"Toyota Rush paling sae ing kelasipun lan langkung unggul ing jamanipun.",neutral,neutral,positive,neutral,neutral,neutral
"Brio boten sae, sumpah.",neutral,neutral,negative,neutral,neutral,neutral
"Dipigunakaken karya saben dinten mboten nate rewel, mesin kiyat, cocog kaliyan kabetahan, BBM irit, boten wonten tandhingan.",positive,positive,positive,neutral,neutral,neutral
"Luwih sae Mitsubishi Xpander ingkang asring unggul wonten ing sedaya aspek.",neutral,neutral,positive,neutral,neutral,neutral
"Bengkel Toyota kok awon sanget, ya? Piyambakipun ngendika bakal dipun-timbali nomeripun, nanging nomeripun manual.",neutral,neutral,neutral,neutral,neutral,negative
"Namung 10 menit kagem ngresiki injektor motor injeksi Yamaha, artosipun perawatan motor injeksi YMH murah lan gampang.",neutral,neutral,neutral,neutral,neutral,positive
"Kekurangan saking Formo sekedhik: fitur safety minimal, kualitas finishing interior awon.",neutral,neutral,neutral,negative,neutral,neutral
"Angel sanget nelpon kangge booking servis Auto 2000 Toyota! Nopo kawula kedah booking mriku?",neutral,neutral,neutral,neutral,neutral,negative
"Yamaha motor injeksi langkung gampang lan murah perawatane.",neutral,neutral,neutral,neutral,neutral,positive
"Pengalaman ngginakaken HRV 1.5 E, rame shockbreaker nalika wonten ing tol Cikampek lan banting-banting menawi lenggah ing mburi.",neutral,neutral,neutral,negative,neutral,neutral
"Honda Beat bahan bakaripun sanget irit, entheng kanggo nyelip ing dalan macet, mesin tarikanipun ugi entheng sanget.",positive,positive,positive,neutral,neutral,neutral
"Mobil Wuling Confero sanget pantes dipun pilih lan dipun tumbas minangka mobil MPV ingkang nyaman kanthi rega terjangkau.",neutral,neutral,neutral,neutral,positive,neutral
"Milih Terios enggal rasane boten klentu.",neutral,neutral,positive,neutral,neutral,neutral
"Xenia irit sanget utamane menawi lagi krasa sepi. Cobanen mateni AC-nipun, saged dolan-dolan kanthi 25.000 rupiah.",positive,neutral,neutral,neutral,neutral,neutral
"Mobil Wuling Confero S nyaman dipun-ginakaken ing medan petualangan.",neutral,neutral,positive,neutral,neutral,neutral
"Puasan sanget kaliyan after salesipun Nissan.",neutral,neutral,neutral,neutral,neutral,positive
"Avanza gampang ing perawatane.",neutral,neutral,neutral,neutral,neutral,positive
"Menawi babagan mesin lan wangun, toplah Yamaha. Sapunika kula ngginakaken NMAX 2018 ingkang sampun dangu kula impi-impeni, saking wangunipun kula sanget remen.",neutral,positive,neutral,positive,neutral,neutral
"Masalahipun, Xenia 2005 kadang-kadang dasbornipun muni.",neutral,neutral,neutral,negative,neutral,neutral
"Lan kabinipun ugi langkung lega Fortuner, menawi Pajero sempit utamane ing perangan ngarsa.",neutral,neutral,neutral,negative,neutral,neutral
"Servis bengkel pinggir dalan dipun wastani awon, asil servis ing dealer resmi pelayanane ugi awon, scumbag Honda.",neutral,neutral,neutral,neutral,neutral,negative
"Sajeroning menika, ngginakaken Xexi lumayan enak lan nyaman ugi.",neutral,neutral,positive,neutral,neutral,neutral
"Rata-rata BBM ing njawi kitha ugi saged dumugi 1:16, irit sanget Mitsubishi.",positive,neutral,neutral,neutral,neutral,neutral
"Setunggal kelemahan Xenia, lenggah ing baris pungkasan kados nunggang unta! Gendheng, ngraosaken sanget mumetenipun.",neutral,neutral,neutral,negative,neutral,neutral
"Nanging ingkang sanget awon saking Freed yaiku tarikanipun.",neutral,negative,neutral,neutral,neutral,neutral
"Fortuner menika mobil ingkang tenagaipun lemah nanging reginipun larang sanget.",neutral,negative,neutral,neutral,negative,neutral
"Kula saranaken tumbas Vario mawon, suku cadangipun cekap lan purna-jualipun ugi sae.",neutral,neutral,neutral,positive,positive,neutral
"Brio mboten cocog digawa tindak dhateng medan ingkang angel, lemah piyambakipun",neutral,neutral,positive,neutral,neutral,neutral
"Simpel cocog dipun wastani kangge Honda Beat, saya tambah gaya desain minimalis nanging juwara ing kelasipun, bahan bakaripun hemat, ramah, lan bersahabat kaliyan saku utawi dompet. Mugi sukses tansah Honda One Heart.",positive,neutral,neutral,positive,positive,neutral
"Babagan tenaga ingkang kirang wonten ing Ertiga ugi rada ngganggu.",neutral,negative,neutral,neutral,neutral,neutral
"New Veloz kula raosaken sampun kathah perbaikanipun, utamane ing perangan suspensi menawi dipun bandingaken kaliyan ingkang kepungkur. Mental-mentul, body roll, lan limbung sampun kirang sanget.",neutral,neutral,neutral,positive,neutral,neutral
".@DaihatsuInd kathah ingkang ngeluh babagan servis kaping kalih ing Astra Daihatsu larang. Monggo edukasiaken dhateng bengkel resmi supados mboten mainaken rega utawi sparepart ingkang sae mboten kedah dipun gantos.",neutral,neutral,neutral,neutral,neutral,negative
"Lah, radio ing HRV nyala piyambak kanthi volume maksimal. Mboten saged dipun pateni lan dipun alonaken.",neutral,neutral,neutral,negative,neutral,neutral
"Wah, AVS panjenengan irit sanget kak, AVG kula namung sekitar 1:8 dumugi 1:9, margi dalanipun macet.",positive,neutral,neutral,neutral,neutral,neutral
"Fortuner menika mobil impen kula. Menika SUV ingkang larang, nanging sak padanipun",neutral,neutral,neutral,neutral,negative,neutral
"Menawi mirsani spesifikasi nipun, rega Ertiga cekap ramah kaliyan kantong",neutral,neutral,neutral,neutral,positive,neutral
"Kapunten, ternyata perawatan Yamaha rata-rata langkung murah saking kompetitor.",neutral,neutral,neutral,neutral,neutral,positive
"Sampun kalih taun kula gadhah motor Honda Beat menika. Motor menika saben dinten kula angge ngater anak sekolah lan nyambut damel. Motor ingkang cekatan, lincah, lan irit BBM.",positive,positive,neutral,neutral,neutral,neutral
"Pajero gadhah mesin ingkang langkung bertenaga lan kathah fituripun",neutral,positive,neutral,positive,neutral,neutral
"Suzuki Ignis lan Daihatsu Sirion rega jualipun ugi mboten stabil.",neutral,neutral,neutral,neutral,negative,neutral
"Menawi miturut kula, suspensi Avanza rada aneh. Menawi namung kalih tiyang, suspensi kados-kados keras sanget. Nanging, menawi kagunganipun kebak 6-7 tiyang, suspensi langkung mantap sanget.",neutral,neutral,neutral,negative,neutral,neutral
"Menawi sampun langkung saking 120 km/jam, boros sanget Avanza kula, lajeng koplingipun ugi rada keras, juragan.",negative,neutral,neutral,negative,neutral,neutral
"Kapisan gadhah mobil menika raosipun kados ngimpi, margi sasampunipun angsal mobil ternyata menang undian ugi 10 yuta rupiah saking Daihatsu. Mobil irit, servis gampang lan murah.",positive,neutral,neutral,neutral,neutral,positive
"Luwih sae VRZ 4*4 sekalian kaliyan fitur ingkang lengkep, spoiler saged tumbas wonten toko variasi.",neutral,neutral,neutral,positive,neutral,neutral
"Rush Konde konsumsi BBM ingkang tetep irit.",negative,neutral,neutral,neutral,neutral,negative
"Xenia pancen taksih kirang saking babagan keamananipun. Airbagipun mboten wonten, bos.",neutral,neutral,neutral,positive,neutral,neutral
"Pajero Sport Dakar pancen langkung sae saking Fortuner.",neutral,neutral,negative,neutral,neutral,neutral
"Rumiyin kula mboten remen kaliyan Xpander.",neutral,neutral,negative,neutral,neutral,neutral
"Altis gen 11 punika pas sanget kangge ingkang golek kenyamanan wonten ing lelampahan.",neutral,neutral,positive,neutral,neutral,neutral
"Fortuner kula kok setiripun rasane rada mboten enak, nggih. Mboten luwes.",neutral,neutral,neutral,negative,neutral,neutral
"Puteran ngandhap mesin Fortuner kiyat sanget.",neutral,positive,neutral,neutral,neutral,neutral
"Jujur, Fortuner punika bandel sanget dipun angge ing medan kados punapa kemawon.",neutral,positive,neutral,neutral,neutral,neutral
"Pengalaman kula gadhah Avanza, bahan bakaripun langkung irit tinimbang nalika kula gadhah Xenia.",negative,neutral,neutral,neutral,neutral,negative
"Kala wingi kula numpak Honda Brio, nembe kalih taun dipun angge lan arang dipun angge, kaki-kaki sampun muni, rem cepet entek, lan sil booster rem utawi master rem rembes.",neutral,neutral,neutral,negative,neutral,neutral
"Sirion punika terlalu overpriced, bos. Saged mboten payu wonten ing Indonesia",neutral,neutral,negative,neutral,negative,neutral
"Xenia punika mobil ingkang paling awon ingkang naté kula gadhah.",neutral,neutral,negative,neutral,neutral,neutral
"Kula ngakeni, enak sanget HRV menika, numpak kagunganipun sederek ngangge HRV.",neutral,neutral,positive,neutral,neutral,neutral
"Payah, payah, mboten wonten ingkang becik niki bengkel Honda. Saprahing minggu saking bengkel sampun muni malih.",neutral,neutral,neutral,neutral,neutral,negative
"Daihatsu Taruna, saliyaning tampilanipun modern wonten wektu menika, kapasitas penumpangipun kathah lan mesthinipun mobil menika sampun dipun damel ala-ala SUV.",neutral,neutral,neutral,positive,neutral,neutral
"Miturut kula, saking babagan kenyamanan, lumayan Xenia menika.",neutral,neutral,positive,neutral,neutral,neutral
"Avanza, bahan bakaripun ingkang irit.",positive,neutral,neutral,neutral,neutral,neutral
"Toyota Rush 2018 tarikanipun luar biasa.",neutral,positive,neutral,neutral,neutral,neutral
"Avanza punika mobil ingkang nyaman kangge kulawarga lan mboten larang perawatanipun.",neutral,neutral,positive,neutral,neutral,positive
"Kula maos ing nginggil, tetangga, Xenia ugi mundhak menika sekitar 2 - 3 yuta. Saya larang kemawon mobil sak punika.",neutral,neutral,neutral,neutral,negative,neutral
"Mula kula kapok mendhet dhateng bengkel Honda Autoland menawi badhé servis serius, amargi mesti badhé dipun bantah.",neutral,neutral,neutral,neutral,neutral,negative
"Tansah setya ngangge saben produk Nissan.",neutral,neutral,positive,neutral,neutral,neutral
"Enten napa sih Avanza, menawi kangge mobil perang langkung sae, sanajan mboten stabil, mboten nggenah nyaman.",neutral,neutral,negative,neutral,neutral,neutral
"Seneng sanget kaliyan Agya, tarikanipun menika halus sanget.",neutral,positive,neutral,neutral,neutral,neutral
"Kula mesthi milih Pajero, saliyané keren modelipun lan katon dinamis, mesinipun ugi mantap, model dasboripun sporty.",neutral,positive,positive,positive,neutral,neutral
"Toyota Rush kula sampun yuswa 8 taun, tenaganipun kirang power full.",neutral,negative,neutral,neutral,neutral,neutral
"Sampun seminggu kagungan Lexi, langkung nyaman tinimbang Vario.",neutral,neutral,negative,neutral,neutral,neutral
"Tarikanipun lincah mesthi Avanza.",neutral,positive,neutral,neutral,neutral,neutral
"Xenia lajengipun langkung lincah tinimbang Avanza ingkang langkung lemah",neutral,negative,neutral,neutral,neutral,neutral
"Tenaganipun maknyus lan saé sanget. Vario125 ESP Combi Brake enak lan mboten ngisin-isini.",neutral,positive,neutral,positive,neutral,neutral
"Avanza kula koplingipun pancen rada atos, juragan.",neutral,neutral,neutral,negative,neutral,neutral
"Nanging, rega OTR Xenia langkung awis tinimbang LI.",neutral,neutral,neutral,neutral,positive,neutral
"Mitsubishi punika raja dalan.",neutral,neutral,positive,neutral,neutral,neutral
"Njaluk mobil ing Bengkel Honda Pondok Indah, sampun rampung servis, nanging mobil kotor sanget. Nanging, teknisi tetep ngotot sampun dipun resiki.",neutral,neutral,neutral,neutral,neutral,negative
"Kula pangguna Xenia LI VVTi 2008, saweg dipun angge mboten nate wonten masalah, lancar-lancar kemawon.",neutral,neutral,positive,neutral,neutral,neutral
"Pancen Xenia punika bandel, kula remen sanget kaliyan mobil kula niki.",neutral,positive,positive,neutral,neutral,neutral
"Ingkang cetha, kula mboten nate getun milih Calya.",neutral,neutral,positive,neutral,neutral,neutral
"Menawi kula, ingkang pemula, langkung remen kaliyan eksterior Brio. Namung, menawi babagan kelengkapan fitur, pancen Sirion langkung sae.",neutral,neutral,neutral,positive,neutral,neutral
"Kangge ingkang kagungan Avanza lan Xenia, mesthi sampun ngraosaken rame suwara wonten ing jero kabin lan lemah bantingan mobilipun.",neutral,neutral,neutral,negative,neutral,neutral
"Avanza oke sanget manuveripun.",neutral,positive,neutral,neutral,neutral,neutral
"Avanza gadhah kapasitas 7 penumpang ingkang nyaman lan aman, lan daya tahan langkung sae awit saking sasis semi-monokok ingkang dipun gabung kaliyan sub-frame, juragan.",neutral,neutral,neutral,positive,neutral,neutral
"Sampun reginipun awis, Fortuner menika ugi konsumsi bahan bakaripun nguras kanthong.",negative,neutral,negative,neutral,neutral,neutral
"Xenia LI cekap mumpuni kados mobil irit lan cekap kiyat.",positive,positive,neutral,neutral,neutral,neutral
"Fortuner sparepartipun angel dipun panggihaken.",neutral,neutral,neutral,negative,neutral,neutral
"Ingkang kula remeni saking Avanza punika volumenipun ingkang ageng, anak-anak saged santai wonten ing njero mobil.",neutral,neutral,neutral,positive,neutral,neutral
"Kula kagungan Xenia Li 08 Family, sakpanjang pangginakaken, dereng nate gadhah keluhan.",neutral,neutral,positive,neutral,neutral,neutral
"Langsung kagum sanget kaliyan kenyamananipun, wiwit saking kedapipun kabin, bantingan suspensi, lan sanes-sanesipun.",neutral,neutral,positive,positive,neutral,neutral
"Fortuner kadospundi nggih… tenagane biasa kemawon, menawi Pajero Sport, tenagane boten ngisin-isini.",neutral,positive,neutral,neutral,neutral,neutral
"12 cup holders kok rasane boten migunani kanggé mobil seven-seater, jenenge kemawon seven-seater, ngapa nganti 12 wikwikwik, langkung sae kabine digawe lega tinimbang nambah cup holder kathah.",neutral,neutral,neutral,negative,neutral,neutral
"Honda Brio kagungan setir ingkang presisi lan tegak kados Toyota 86, mekaten ugi jok sporty-nipun kados racing.",neutral,neutral,neutral,positive,neutral,neutral
"Nyuwun pangapunten tumbas Agya, tarikane alon, menawi dipun-ginakaken rame-rame boten kuat.",neutral,negative,neutral,neutral,neutral,neutral
"Menawi soal overall, mesthi Pajero langkung unggul tinimbang Fortuner.",neutral,neutral,negative,neutral,neutral,neutral
"Sababipun, regine Fortuner wonten ngandhap Pajero.",neutral,neutral,neutral,neutral,negative,neutral
"Salah satunggal perkawis ingkang paling kula tresnani saking merek Honda punika Ultra Seat.",neutral,neutral,neutral,positive,neutral,neutral
"Semakin anggun mawon punika Avanza, juragan.",neutral,neutral,positive,neutral,neutral,neutral
"Mobil iki aku akoni paling pas kanggo kerja karo mobilitas tinggi, gede ora, cilik uga ora, mlebu-mlebu kampung gang cilik, tanjakan terjal tetep lincah, lan sing paling penting penggerak roda mburi cocog kanggo sakabehe medan.",neutral,positive,neutral,positive,neutral,neutral
"Ignis pantes mas karo rega paling murah 139,5 juta.",neutral,neutral,neutral,neutral,positive,neutral
"Tuku Beat FI kanggo saben dina, tarikane nyaman, irit banget yen kanggo kuliah. Rega oke.",positive,positive,neutral,neutral,positive,neutral
"Wuling Confero S 1.5 L Lux+ tekan Jawa Timur park 3, krasa kepenak mobil iki, ora limbung.",neutral,neutral,positive,neutral,neutral,neutral
"X-Pander punika ugi keren, kados mobil ing mangsa ngajeng.",neutral,neutral,positive,neutral,neutral,neutral
"Konsumsi BBM HRV ugi irit sanget, saged dumugi 13,5 km/l.",positive,neutral,neutral,neutral,neutral,neutral
"Kelebihan Avanza ingkang damel kula tresna dhateng Avanza yaiku panganggonan sistem penggerak roda wingking utawi rear-wheel drive.",neutral,neutral,neutral,positive,neutral,neutral
"Hadeh, Toyota Prado kok rusak. Leres, miturut kakang kula, perawatan mobil matic punika angel.",neutral,neutral,neutral,neutral,neutral,negative
"Luwih kepenak All New Avanza, langkung lincah, akselerasi langkung sae.",neutral,positive,neutral,neutral,neutral,neutral
"Toyota Rush cocog kangge sakabehing mangsa lan gadhah jiwa petualang.",neutral,neutral,positive,neutral,neutral,neutral
"Kula pangguna Xpander, kula nyoba ing tanjakan-tanjakan Dieng kaliyan penumpang 6 tiyang sepuh, nggih sae-sae mawon kok. Lan mesthi mantap menika mobil.",neutral,neutral,positive,neutral,neutral,neutral
"Leres, Brio punika sae, pantes laris sanget.",neutral,neutral,positive,neutral,neutral,neutral
".@iip_bados05, bengkel resmi Toyota, honda, lan Daihatsu punika standarte langkung sae tinimbang bengkel biasa, mas. Dadi, Astrido kagungan Toyota.",neutral,neutral,neutral,neutral,neutral,positive
"Menawi ngutamakake desain, nggih mending Brio mawon, nanging menawi saka segi tenaga taksih kirang.",neutral,negative,neutral,positive,neutral,neutral
"Brio mobilipun awon sanget, boten sae.",neutral,neutral,negative,neutral,neutral,neutral
"Fortuner gayane stylish banget, cocog kanggo panjenengan ingkang remen main Instagram.",neutral,neutral,neutral,positive,neutral,neutral
"Numpak Honda Beat, kula ingkang dhuwuré 180 cm kroso kados abang-abang numpak troli bayi.",neutral,neutral,negative,neutral,neutral,neutral
"Kelemahan Avanza, tenagane remen mudhun menawi sampun panas.",neutral,negative,neutral,neutral,neutral,neutral
"Kala wingi kula angsal Grab nganggo Xpander Exceed, temenan langkung kepenak sanget.",neutral,neutral,positive,neutral,neutral,neutral
"Nganggo HR-V 1.8, rumiyin menawi mobil menika kabiné jembar, interioripun ugi sae.",neutral,neutral,neutral,positive,neutral,neutral
"Rega murah, nanging mesin Avanza ugi sae.",neutral,positive,neutral,neutral,positive,neutral
"Regane Honda Brio RS sayang kemahalan miturut kula pribadi.",neutral,neutral,neutral,neutral,negative,neutral
"Kualitas produk, teknologi, lan suku cadang ingkang terjamin ugi dados aspek ingkang ndamel Avanza punika narik kawigaten, juragan.",neutral,neutral,positive,positive,neutral,neutral
"Menawi gadhah budget langkung, langkung sae milih Xi mawon, tarikane langkung enak lan bertenaga.",neutral,positive,neutral,neutral,neutral,neutral
"Avanza saestu ndhukung profesi ingkang kula lakoni, awit kanggé mahasiswa kados kula punika cocok sanget.",neutral,neutral,positive,neutral,neutral,neutral
